time,type,mark
4821.192934522913,1,5.0
4821.224741827014,0,4.0
4821.224859031141,1,3.0
4821.229449239579,1,4.0
4821.230422117615,1,2.0
4829.343245192847,1,3.0
4829.733777159598,1,2.0
4829.735810651662,1,1.0
4844.644892205654,0,4.0
4844.708692507118,0,1.0
4844.938054245945,0,5.0
4847.311515000675,1,5.0
4856.5395219434895,0,4.0
4869.3556483123975,0,5.0
4871.870694423674,1,1.0
4873.610374948035,1,5.0
4880.099571410718,1,1.0
4889.22221213295,0,2.0
4917.752160880651,1,2.0
4921.9386316545315,0,5.0
4921.938800339576,1,3.0
4929.059633699676,0,2.0
4929.280866508809,0,5.0
4933.021255868456,0,4.0
4945.699819916676,1,4.0
4960.080538235551,1,3.0
4984.485699326733,0,4.0
4984.513542568856,1,2.0
5010.066251365708,0,3.0
5017.817689747206,0,5.0
5021.47061495558,0,3.0
5024.5694071821345,0,3.0
5025.275917825305,1,2.0
5033.231524734743,0,2.0
5037.048569699001,0,4.0
5037.0510631677935,1,4.0
5037.250908561916,1,1.0
5048.7236780275025,1,4.0
5051.2795847339885,1,1.0
5053.83232360697,0,5.0
5053.853425558619,1,5.0
5054.284518342825,1,1.0
5058.5207550180985,1,1.0
5062.491444878444,0,4.0
5067.47897318205,1,4.0
5067.479133924734,0,5.0
5072.923863513949,1,5.0
5073.494100956494,0,2.0
5079.14977550368,1,1.0
5081.4832799466385,0,3.0
5082.294545062471,1,4.0
5087.314914787762,0,3.0
5107.513316201105,1,2.0
5107.514035413475,0,4.0
5110.819046320152,1,4.0
5111.1278766893765,0,4.0
5116.017033095789,0,5.0
5118.412055878072,1,5.0
5118.414126157678,1,3.0
5128.470731326393,0,4.0
5129.068609361584,1,4.0
5133.514263362814,1,5.0
5139.045505716738,0,1.0
5141.770075166383,1,5.0
5141.779872178603,1,2.0
5141.808397580487,0,4.0
5141.901946429667,0,3.0
5182.513492688809,1,4.0
5183.999250603541,0,4.0
5184.714286194198,0,5.0
5188.232370767953,1,4.0
5193.0422570511055,0,5.0
5193.042658197425,0,5.0
5193.046562423782,1,4.0
5193.050299200234,1,4.0
5193.053317581012,1,5.0
5193.053600837343,1,3.0
5193.71466215769,1,5.0
5193.717604144621,1,5.0
5193.799429938929,1,5.0
5207.263657155377,1,2.0
5217.452946457861,1,5.0
5217.890290871926,0,4.0
5219.2555520946435,1,1.0
5235.048412523227,0,2.0
5236.509218143348,1,1.0
5239.118318565905,1,5.0
5253.053659046457,1,5.0
5267.917449414249,1,2.0
5267.920441937043,1,1.0
5272.626719159041,0,2.0
5289.142917674381,0,2.0
5299.689901513752,0,2.0
5303.334675129809,0,4.0
5303.335095377755,0,4.0
5305.3277616889545,1,2.0
5305.329032703299,0,4.0
5305.329595722994,1,5.0
5305.332084164714,1,5.0
5306.184182633175,0,4.0
5306.201480940947,1,5.0
5306.202085816603,1,2.0
5306.222359310882,0,4.0
5306.505300685687,1,5.0
5306.514695092806,1,3.0
5309.60031628403,1,1.0
5309.713533600246,1,4.0
5311.724237544266,1,4.0
5311.727201768358,1,4.0
5342.104003527974,0,2.0
5343.79448737385,1,3.0
5344.907253458387,1,2.0
5346.681166900341,1,1.0
5350.552974789201,1,2.0
5350.741066339434,1,1.0
5356.267319992707,1,5.0
5359.69271419879,0,3.0
5376.3280642877535,1,2.0
5380.879671829707,0,3.0
5387.514112772471,1,1.0
5387.786004541768,0,3.0
5390.955109317117,1,5.0
5391.036947976425,0,2.0
5391.919527096836,0,1.0
5391.987958811647,1,5.0
5405.342834677776,1,5.0
5405.343513524256,0,5.0
5412.752692139388,0,1.0
5438.449801097311,0,1.0
5446.355107581816,0,1.0
5446.821989867558,0,5.0
5446.916801312264,0,1.0
5457.223783999018,0,1.0
5464.77325888691,1,3.0
5472.966476506603,1,4.0
5478.367785558888,0,1.0
5478.618216297201,0,3.0
5479.882402864386,1,2.0
5484.816030886352,0,2.0
5487.69543750436,0,5.0
5503.718856086972,1,2.0
5504.440131790223,0,4.0
5504.440355968493,1,1.0
5508.4084189759305,1,4.0
5514.92725162243,0,5.0
5514.9275705576465,1,3.0
5521.691852294037,0,4.0
5523.21628477469,1,1.0
5523.476272400112,0,3.0
5535.244110466332,0,4.0
5535.631252554491,0,5.0
5541.767453982685,0,3.0
5545.507557760266,0,1.0
5562.48343789499,1,4.0
5568.477853041915,0,1.0
5578.803185990792,1,5.0
5578.804910210811,0,1.0
5578.808764983024,0,2.0
